model,Data,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
Linear Regression pred,PM10 t+1,3.0094347994710064,3.1024288256499846,8.082101841765983,7.821346990008981,0.9088542309698406,0.9084268703259886
Linear Regression pred,PM10 t+3,8.112160993746702,8.497916084278927,19.56948166594816,18.999957957651926,0.4661448986897868,0.49668839702585854
Linear Regression pred,PM10 and Weather t+1,3.059081675228112,3.1489010264915342,8.252861632049225,7.885573392514736,0.9062755492848288,0.9013873942853351
Linear Regression pred,PM10 and Weather t+3,8.227144271747907,8.674921083693356,19.72405245733505,19.24309127362013,0.4653598055709665,0.4783727736897713
Linear Regression val,PM10 t+1,2.855469484160756,2.915726180881761,5.029992963408881,4.833530212589487,0.9267181897474893,0.93857710036675
Linear Regression val,PM10 t+3,7.173679764928714,7.6393415078260345,10.75356657264986,11.222374758413668,0.6657896773601316,0.672069040415626
Linear Regression val,PM10 and Weather t+1,2.832970016520215,2.921587618169797,4.9841645623655335,4.83235285842205,0.9280813070288735,0.9385167086196635
Linear Regression val,PM10 and Weather t+3,7.020505578003752,7.509695357266142,10.551692924855974,11.092947256694956,0.6783631629457559,0.6788942325490319
Random Forest pred,PM10 t+1,2.665524218401887,3.085059586843097,8.925518311210807,9.603186556232261,0.8833320934014994,0.8630248770265387
Random Forest pred,PM10 t+3,6.221355892815943,6.956143868925812,16.44242145261515,16.622224855998475,0.6233650222424605,0.6162004167883124
Random Forest pred,PM10 and Weather t+1,3.1479629314693836,3.3587882118450016,11.227147066488806,10.767663915940997,0.8244559348347356,0.8305615618303286
Random Forest pred,PM10 and Weather t+3,6.0820605137228645,7.026917855714851,16.54227983636266,16.670909608939873,0.624413265958514,0.614531493660423
Random Forest val,PM10 t+1,2.476585937406988,3.1281095217258432,4.328250946109534,5.355412777508503,0.9451911217545904,0.9202688197618208
Random Forest val,PM10 t+3,6.269641961419643,7.710719487942963,9.184082284795489,11.074534933322035,0.7554228550880403,0.6803835764862931
Random Forest val,PM10 and Weather t+1,2.919542418318759,3.433148540827635,5.006608781909337,5.783364746087008,0.9266193144906971,0.9087817735539936
Random Forest val,PM10 and Weather t+3,6.03026260506199,7.7458411588989975,8.761330006158243,11.142463183601238,0.7764205897748785,0.676016470361618
XGBoost pred,PM10 t+1,3.149406057005651,3.665419767384671,8.591136454567247,10.410529309581012,0.8965533368778035,0.8475060905541596
XGBoost pred,PM10 t+3,6.57386761159499,7.374114459639282,16.085100925112506,16.698903844490665,0.6393013443986056,0.609891711305581
XGBoost pred,PM10 and Weather t+1,2.9379820235387633,3.7608672078142718,6.328244344635558,9.8640215554425,0.9424620261164156,0.8515439468213449
XGBoost pred,PM10 and Weather t+3,6.612849208675238,7.598273632505621,15.511738353172074,16.809821357756473,0.669537308835628,0.6062501534743733
XGBoost val,PM10 t+1,2.7548683304241837,3.364733245511709,4.4696185315911015,5.646855806772042,0.9406437221399575,0.9118875257915446
XGBoost val,PM10 t+3,6.699050582748647,7.675186109481464,9.637128960504315,11.025861101318391,0.7315233269748446,0.6815516337410521
XGBoost val,PM10 and Weather t+1,2.7594314831577846,3.533549056773412,4.330872679869403,5.780512100389428,0.945600964135244,0.9085659882370637
XGBoost val,PM10 and Weather t+3,6.175275458333895,7.76146901682103,8.67367046015536,11.00885466800366,0.7813718440593361,0.6803903118255334
