측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,35,40,33,35,36,34,35,35,36,43,43,35,31,27,21,27,30,35,28,30,38,40,36,38
[광주 광산구]우산동(광주),34,33,31,30,36,34,34,35,38,38,39,28,28,27,23,-,23,27,25,25,31,28,34,30
[광주 광산구]평동,34,34,38,39,42,36,35,36,41,61,48,38,34,23,23,26,32,33,30,32,41,40,39,41
[광주 남구]노대동,27,28,26,28,27,28,26,26,28,29,37,30,24,25,26,24,23,22,26,26,20,24,28,25
[광주 남구]주월동,31,30,29,36,26,29,34,34,36,41,39,27,25,27,25,25,26,27,30,30,32,38,34,37
[광주 동구]서석동,21,24,18,23,27,24,23,29,26,23,31,17,19,20,22,22,22,25,25,24,27,30,29,26
[광주 북구]건국동,30,27,26,29,25,27,26,27,27,29,30,23,23,24,15,19,19,23,25,23,25,29,27,30
[광주 북구]두암동,31,25,28,27,29,23,17,21,19,21,23,25,20,27,22,27,22,26,26,26,32,37,37,37
[광주 북구]일곡동,25,27,31,25,25,24,23,24,24,27,27,22,21,22,22,20,21,25,27,27,27,30,24,25
[광주 서구]농성동,25,30,30,33,31,38,34,34,29,33,29,19,19,21,21,19,18,24,23,29,29,29,30,31
[광주 서구]유촌동,27,37,34,28,33,30,33,50,33,29,31,33,26,21,19,23,26,29,24,24,30,31,30,36
