측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,20,16,15,12,10,12,18,18,19,17,22,17,19,21,18,16,19,19,19,15,14,16,15,13
[광주 광산구]우산동(광주),18,20,14,14,11,11,14,21,11,15,15,17,20,13,14,16,18,16,15,15,16,12,8,13
[광주 광산구]평동,19,22,14,16,11,12,12,11,15,15,22,17,15,17,21,20,20,19,18,13,15,13,13,16
[광주 남구]노대동,18,21,19,16,11,15,12,14,16,14,19,23,17,14,15,16,12,15,13,14,15,12,13,10
[광주 남구]주월동,14,19,21,17,13,16,15,13,13,18,17,17,16,16,16,18,21,15,13,16,13,14,12,13
[광주 동구]서석동,16,16,20,11,10,11,11,11,12,12,10,14,15,15,15,14,13,15,10,16,12,12,13,10
[광주 북구]건국동,11,11,9,9,9,9,8,12,8,8,14,11,12,12,11,12,12,12,10,7,7,7,7,7
[광주 북구]두암동,16,17,17,16,11,11,10,11,10,14,12,13,13,14,11,12,13,16,8,10,11,11,11,13
[광주 북구]일곡동,18,19,15,15,13,13,11,12,15,13,15,14,16,17,12,11,14,17,13,12,10,10,11,12
[광주 서구]농성동,16,14,10,10,11,9,14,13,11,15,16,14,14,16,12,14,10,13,17,12,10,9,8,8
[광주 서구]유촌동,17,20,14,14,10,10,6,15,14,17,21,17,17,14,19,18,15,18,11,16,9,13,9,10
