측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,30,29,36,35,34,31,34,29,30,35,37,36,47,58,214,550,586,359,163,93,102,34,28,28
[광주 광산구]우산동(광주),29,37,24,21,23,24,28,27,31,35,22,27,43,42,134,431,493,328,147,73,88,37,26,27
[광주 광산구]평동,34,31,27,31,28,25,27,28,27,23,25,33,48,48,169,509,599,378,172,91,86,40,28,24
[광주 남구]노대동,27,30,24,24,19,20,18,24,20,21,20,31,42,44,73,416,522,438,235,88,95,46,29,25
[광주 남구]주월동,28,24,24,23,22,20,23,19,21,22,26,35,50,49,78,390,537,398,222,94,89,36,28,23
[광주 동구]서석동,23,23,23,25,17,18,26,22,21,20,23,27,38,50,66,340,545,422,221,92,83,40,24,23
[광주 북구]건국동,33,31,35,30,26,26,26,24,22,28,23,29,46,51,150,482,511,342,169,90,75,26,21,27
[광주 북구]두암동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[광주 북구]일곡동,28,27,27,26,23,24,20,21,23,26,23,32,45,53,122,447,519,348,192,83,76,34,24,27
[광주 서구]농성동,22,27,19,22,16,18,12,20,19,16,27,31,42,44,69,325,476,332,187,82,76,35,23,19
[광주 서구]유촌동,27,27,26,24,25,32,27,29,29,39,41,32,45,46,121,498,572,377,183,90,95,36,19,29
