측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,62,70,67,63,61,59,63,58,66,72,78,82,74,68,72,75,75,83,92,96,97,88,82,80
[광주 광산구]우산동(광주),64,70,62,61,62,61,51,65,58,60,71,79,74,56,56,62,66,70,81,88,93,91,90,78
[광주 광산구]평동,59,65,59,58,63,62,68,67,72,81,83,91,73,58,66,71,84,87,96,99,92,96,93,87
[광주 남구]노대동,48,53,50,52,51,53,51,51,42,45,52,63,60,50,51,65,83,75,74,65,69,77,85,78
[광주 남구]주월동,54,56,52,50,50,51,55,60,58,62,63,83,84,61,59,67,78,75,71,85,95,89,86,81
[광주 동구]서석동,56,51,45,40,39,35,45,43,36,43,55,69,81,65,59,66,85,79,72,82,75,67,70,78
[광주 북구]건국동,59,54,48,53,48,45,50,48,49,57,59,59,60,61,62,71,75,77,83,93,82,89,84,82
[광주 북구]두암동,60,63,59,-,-,-,-,52,48,51,61,72,76,-,-,-,-,-,-,-,-,-,-,-
[광주 북구]일곡동,58,56,57,53,57,54,48,51,51,49,52,65,65,58,61,72,79,77,82,75,81,76,76,75
[광주 서구]농성동,59,54,53,59,58,51,55,53,60,62,74,86,90,64,50,65,79,76,66,84,89,95,78,79
[광주 서구]유촌동,61,71,55,59,52,54,57,74,69,64,79,-,76,64,53,70,72,71,76,90,94,93,100,81
