측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[광주 광산구]오선동,31,31,30,29,32,28,27,34,48,53,48,-,24,20,18,15,23,32,42,44,48,56,59,55
[광주 광산구]우산동(광주),27,27,26,30,29,29,32,42,50,49,46,32,18,18,18,14,15,28,32,39,41,51,47,54
[광주 광산구]평동,31,35,34,38,34,32,37,48,50,70,58,38,29,27,28,19,26,44,49,44,53,58,59,73
[광주 남구]노대동,28,27,28,25,28,27,26,28,31,34,52,44,24,18,17,21,20,29,32,40,38,34,37,35
[광주 남구]주월동,27,28,29,31,31,25,33,36,41,58,49,36,22,20,14,23,22,25,35,44,39,39,43,58
[광주 동구]서석동,24,22,23,25,23,20,24,30,42,50,49,27,22,17,19,19,18,24,36,37,37,34,33,37
[광주 북구]건국동,25,26,24,25,24,24,22,28,27,38,42,34,-,-,18,12,17,33,32,44,47,46,49,47
[광주 북구]두암동,24,26,22,26,30,29,27,33,43,47,41,32,24,22,21,15,17,22,32,41,44,34,38,43
[광주 북구]일곡동,27,28,26,20,29,27,24,31,30,27,-,-,-,-,-,-,16,26,35,39,48,40,48,42
[광주 서구]농성동,24,29,31,29,28,27,32,33,39,51,54,31,24,16,8,20,17,19,28,36,39,37,40,47
[광주 서구]유촌동,41,37,34,25,31,30,28,54,52,66,61,48,31,27,20,24,19,33,37,43,47,49,57,57
