측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,26,31,40,43,51,54,63,53,40,26,25,19,19,16,19,19,19,19,19,16,17,16,18,15
[서울 강동구]강동구,-,40,51,62,60,66,66,60,45,28,24,22,23,22,18,22,18,20,21,19,21,24,23,19
[서울 강북구]강북구,30,40,48,51,59,57,55,47,37,26,28,25,22,17,17,17,16,12,14,10,14,14,15,13
[서울 강서구]강서구,28,36,42,50,50,61,61,47,31,26,16,21,22,25,18,23,19,20,19,23,19,20,18,19
[서울 관악구]관악구,33,35,47,46,52,56,62,46,32,26,22,19,20,19,21,20,20,19,18,16,22,16,18,17
[서울 광진구]광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,18,16,19,16,18,14
[서울 구로구]구로구,34,48,58,57,60,72,67,44,35,34,21,25,29,25,31,-,-,23,18,21,24,18,18,23
[서울 금천구]금천구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[서울 노원구]노원구,26,37,49,53,60,56,55,49,41,22,13,18,19,19,18,17,17,13,12,10,15,14,17,15
[서울 도봉구]도봉구,34,43,43,53,54,54,49,46,35,22,21,21,14,16,13,15,11,12,10,13,12,14,13,17
[서울 동대문구]동대문구,32,33,40,44,50,53,57,52,36,29,22,20,18,16,16,16,15,10,10,11,11,11,14,12
[서울 동작구]동작구,32,34,45,46,50,57,64,47,31,24,20,17,22,19,-,-,-,17,15,14,16,13,15,14
[서울 마포구]마포구,26,28,38,39,40,46,55,42,28,27,-,-,-,19,23,19,16,12,10,10,13,13,17,16
[서울 서대문구]서대문구,34,36,37,42,45,54,62,47,32,28,24,20,15,18,18,18,19,15,15,20,17,18,20,15
[서울 서초구]서초구,37,40,58,49,49,64,66,47,33,29,27,19,-,-,24,35,27,23,22,19,21,16,23,22
[서울 성동구]성동구,28,29,36,40,44,50,52,49,38,29,23,20,23,18,20,23,21,16,17,14,15,16,16,14
[서울 성북구]성북구,43,45,43,49,56,58,56,40,31,18,17,20,17,17,13,16,15,14,12,14,13,11,14,13
[서울 송파구]송파구,26,29,42,43,49,48,55,52,40,28,23,20,22,19,24,19,21,18,19,17,19,16,18,16
[서울 양천구]양천구,31,39,50,50,57,63,67,45,32,29,20,17,28,21,-,-,24,16,16,15,16,17,18,18
[서울 영등포구]영등포구,25,30,38,41,46,50,56,41,28,21,17,17,22,18,19,19,18,15,13,15,16,13,15,14
[서울 용산구]용산구,27,34,35,40,43,47,56,49,40,35,25,28,25,29,21,22,12,18,21,22,21,19,20,21
[서울 은평구]은평구,27,36,43,46,56,60,65,54,42,38,26,22,22,24,26,16,20,20,17,18,18,20,16,20
[서울 종로구]종로구,26,28,38,40,45,53,60,54,41,30,22,20,18,14,20,18,18,18,16,14,15,15,15,14
[서울 중구]중구,25,28,37,41,49,54,63,53,37,30,27,18,17,17,21,22,23,16,17,14,14,15,16,16
[서울 중랑구]중랑구,31,34,40,50,55,56,53,49,38,19,15,16,17,14,11,14,13,13,13,14,14,13,14,16
