측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,29,28,26,24,23,21,21,22,22,26,26,24,28,23,28,25,29,33,32,29,35,27,36,30
[서울 강동구]강동구,42,42,35,30,27,29,31,28,28,31,36,44,38,37,38,39,36,33,35,35,36,31,42,37
[서울 강북구]강북구,36,31,27,25,23,22,24,23,25,28,38,34,37,30,29,31,34,28,27,27,31,29,34,34
[서울 강서구]강서구,34,33,30,28,26,25,24,27,23,25,24,31,31,29,26,30,27,37,33,34,32,38,35,34
[서울 관악구]관악구,33,29,29,26,24,23,21,23,24,20,23,27,31,30,32,27,29,34,34,32,31,30,30,27
[서울 광진구]광진구,39,32,31,28,28,25,26,23,27,23,29,30,29,27,32,30,33,34,34,33,31,29,32,32
[서울 구로구]구로구,40,45,37,31,26,32,27,31,-,-,36,37,40,38,32,35,33,36,32,38,42,40,33,36
[서울 금천구]금천구,34,37,31,27,24,24,24,21,26,27,29,31,31,30,28,35,31,27,30,30,32,32,26,29
[서울 노원구]노원구,39,35,33,28,24,24,29,29,33,28,27,26,33,33,34,36,36,23,25,29,30,30,32,34
[서울 도봉구]도봉구,35,28,25,25,21,17,25,23,25,24,26,24,28,20,27,26,23,24,30,26,22,27,33,37
[서울 동대문구]동대문구,34,25,26,22,21,24,24,21,19,19,21,24,23,25,24,30,31,27,33,30,28,27,30,30
[서울 동작구]동작구,34,30,30,27,26,23,24,23,24,22,24,25,30,31,33,27,28,30,28,28,27,29,27,26
[서울 마포구]마포구,27,27,23,22,22,18,19,19,24,25,28,25,27,27,30,-,-,-,23,22,26,28,33,28
[서울 서대문구]서대문구,31,32,33,25,21,24,19,23,25,23,25,25,23,28,28,31,29,25,29,29,30,33,38,33
[서울 서초구]서초구,37,35,36,32,29,20,26,24,35,34,33,29,28,33,34,32,38,33,35,32,31,36,30,33
[서울 성동구]성동구,31,26,27,22,22,19,21,22,24,26,34,32,31,31,37,33,34,28,29,29,25,26,30,29
[서울 성북구]성북구,34,27,22,22,23,22,25,23,30,22,29,29,30,28,37,29,27,26,32,28,26,28,30,29
[서울 송파구]송파구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,48,38,37,38,34,39,37
[서울 양천구]양천구,38,31,33,28,27,25,27,24,28,-,-,23,40,33,34,32,33,31,35,32,33,36,37,32
[서울 영등포구]영등포구,28,25,25,22,21,18,21,20,20,19,-,-,31,25,27,26,28,29,31,29,27,27,29,25
[서울 용산구]용산구,37,32,37,32,27,23,26,26,25,35,36,34,34,30,39,33,25,26,30,32,34,32,37,35
[서울 은평구]은평구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,34,38,35,32,35,34,37
[서울 종로구]종로구,32,28,30,26,22,20,21,22,20,16,21,25,28,24,28,29,33,32,33,31,31,30,37,31
[서울 중구]중구,37,32,32,30,27,22,23,23,29,23,31,26,25,31,39,37,37,30,34,32,32,40,43,36
[서울 중랑구]중랑구,30,29,23,23,22,22,21,23,23,21,25,29,33,36,30,32,35,31,25,27,28,27,26,28
