측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,50,51,54,50,53,56,55,48,50,58,52,61,80,92,109,106,85,84,91,84,72,63,60,58
[서울 강동구]강동구,60,57,53,59,68,63,60,55,66,71,76,77,97,101,108,114,94,77,100,100,83,77,72,70
[서울 강북구]강북구,31,31,31,32,36,37,45,46,-,-,69,77,75,78,78,79,78,79,78,94,94,77,74,71
[서울 강서구]강서구,53,58,58,46,40,40,42,50,49,51,53,64,84,94,81,76,75,74,71,60,46,41,44,51
[서울 관악구]관악구,56,54,56,59,58,52,47,46,54,49,53,62,-,-,-,89,78,78,79,69,64,58,59,58
[서울 광진구]광진구,59,56,56,56,56,56,55,53,52,56,61,64,82,94,106,105,88,81,88,90,79,65,67,68
[서울 구로구]구로구,55,55,52,60,54,55,55,60,91,96,74,83,97,132,107,95,91,90,76,64,63,59,58,57
[서울 금천구]금천구,56,60,59,68,56,47,50,55,53,68,70,77,92,113,96,90,82,80,65,61,59,55,48,53
[서울 노원구]노원구,33,33,40,49,47,50,58,62,63,61,-,-,67,84,77,87,72,66,72,84,93,82,67,69
[서울 도봉구]도봉구,31,35,35,31,37,40,49,53,64,65,71,85,82,74,81,82,73,72,73,81,79,74,70,64
[서울 동대문구]동대문구,36,49,58,60,57,54,56,55,61,60,60,69,76,85,100,84,77,81,86,82,69,54,55,55
[서울 동작구]동작구,45,47,53,50,53,54,52,49,51,49,47,59,70,87,106,-,-,76,77,70,62,60,59,59
[서울 마포구]마포구,48,54,52,44,44,43,44,50,54,60,66,74,73,96,113,90,84,80,74,65,52,44,42,45
[서울 서대문구]서대문구,34,40,43,-,45,43,-,44,50,55,57,55,69,80,88,67,71,80,72,66,56,47,52,45
[서울 서초구]서초구,52,60,60,64,61,66,61,60,-,-,-,-,-,-,-,-,130,107,90,86,64,67,65,60
[서울 성동구]성동구,53,57,57,57,57,60,54,54,56,59,70,80,84,96,121,119,92,78,79,81,65,58,58,60
[서울 성북구]성북구,37,41,55,59,62,60,58,59,68,70,81,90,91,99,98,94,82,90,103,89,70,66,67,68
[서울 송파구]송파구,45,46,47,50,49,48,47,46,51,55,60,66,85,101,102,95,81,89,99,93,78,65,63,62
[서울 양천구]양천구,66,66,60,51,45,48,51,53,52,55,52,56,84,112,92,87,85,81,70,59,59,51,52,64
[서울 영등포구]영등포구,53,54,47,48,49,45,47,49,49,54,62,59,68,95,97,85,79,74,72,59,57,55,50,51
[서울 용산구]용산구,55,56,56,52,53,57,56,56,66,76,99,-,-,44,119,106,86,71,87,76,65,62,56,53
[서울 은평구]은평구,32,36,43,48,52,55,52,55,56,76,74,65,89,101,100,99,84,91,90,80,62,58,59,56
[서울 종로구]종로구,41,52,57,58,60,58,59,58,57,63,65,74,79,94,109,90,84,89,92,91,73,60,58,58
[서울 중구]중구,46,52,60,61,54,56,60,55,58,66,71,74,77,101,113,-,-,37,88,82,67,56,53,61
[서울 중랑구]중랑구,45,48,55,60,52,56,59,64,73,65,57,60,-,-,-,85,75,74,79,85,76,65,62,66
