측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,19,17,16,15,16,17,17,16,18,17,17,13,18,15,25,16,23,24,26,28,23,26,22,25
[서울 강동구]강동구,21,19,21,22,17,22,21,29,28,24,23,29,23,30,27,28,27,26,33,31,34,31,36,32
[서울 강북구]강북구,19,16,18,16,16,16,17,18,21,19,23,23,23,21,23,23,26,26,30,25,25,25,24,24
[서울 강서구]강서구,18,24,19,22,23,25,19,23,20,17,19,24,22,27,24,24,25,30,33,34,26,30,29,32
[서울 관악구]관악구,23,18,20,18,18,17,21,19,21,19,20,20,20,22,25,22,25,29,33,30,27,26,28,24
[서울 광진구]광진구,20,18,22,17,18,17,21,18,21,17,20,16,20,22,26,22,27,27,31,29,29,27,29,29
[서울 구로구]구로구,28,27,30,16,25,27,24,26,27,33,23,27,30,31,28,30,37,31,37,35,33,34,36,36
[서울 금천구]금천구,16,16,17,16,21,24,19,17,20,17,20,21,18,22,23,21,26,27,24,22,23,23,28,24
[서울 노원구]노원구,18,16,17,18,16,17,19,19,21,16,21,23,25,24,26,28,28,28,29,28,29,28,32,27
[서울 도봉구]도봉구,18,14,12,16,17,17,15,17,22,16,20,20,19,16,19,23,22,28,29,30,27,21,24,33
[서울 동대문구]동대문구,13,15,18,16,16,16,18,15,17,12,15,13,18,19,21,21,20,23,26,24,22,22,23,24
[서울 동작구]동작구,18,16,17,16,17,18,19,17,19,18,19,18,20,22,23,21,20,25,26,26,22,21,25,24
[서울 마포구]마포구,17,14,15,16,17,15,18,16,18,20,21,22,26,23,25,21,19,18,19,15,17,22,25,21
[서울 서대문구]서대문구,23,16,19,20,18,20,19,18,17,17,18,21,22,21,24,25,26,30,26,28,27,27,27,25
[서울 서초구]서초구,22,19,20,16,21,14,21,23,23,22,22,23,22,26,29,23,25,27,30,27,25,27,25,28
[서울 성동구]성동구,17,15,14,15,16,15,16,17,17,15,15,14,19,21,18,20,19,22,25,23,23,22,23,23
[서울 성북구]성북구,18,20,13,15,16,18,16,17,17,20,20,22,19,21,27,20,20,24,28,25,26,24,25,25
[서울 송파구]송파구,20,19,19,17,17,16,19,19,21,20,21,21,21,22,27,27,24,26,29,29,28,26,28,27
[서울 양천구]양천구,24,20,22,19,24,23,26,21,24,18,25,19,28,29,27,27,32,28,27,24,32,28,29,30
[서울 영등포구]영등포구,19,17,19,16,17,17,18,17,20,16,20,16,19,20,22,20,24,25,23,20,21,23,27,23
[서울 용산구]용산구,19,20,21,20,17,18,19,19,23,27,28,33,31,25,23,22,24,25,31,29,29,26,30,25
[서울 은평구]은평구,20,17,19,17,20,20,16,22,23,20,26,23,21,26,24,23,25,27,23,27,26,24,24,29
[서울 종로구]종로구,18,15,16,14,14,14,18,15,14,12,17,11,16,19,25,19,24,28,28,23,23,22,26,22
[서울 중구]중구,21,17,19,18,18,16,18,17,22,18,24,17,15,21,27,21,24,25,27,25,28,25,27,25
[서울 중랑구]중랑구,15,15,14,17,13,14,13,17,13,14,16,19,21,23,20,21,24,22,25,25,22,24,25,25
