측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[서울 강남구]강남구,51,52,53,56,61,55,59,58,60,61,66,64,69,68,71,73,79,77,74,71,74,76,77,74
[서울 강동구]강동구,61,63,63,58,65,64,65,70,72,70,71,71,67,72,72,72,74,74,74,81,77,77,77,78
[서울 강북구]강북구,60,56,55,54,57,55,60,61,65,84,89,85,81,79,82,78,86,81,83,72,75,77,82,78
[서울 강서구]강서구,50,51,51,58,59,64,62,60,61,62,62,63,65,71,71,69,63,63,63,67,72,85,83,90
[서울 관악구]관악구,48,52,54,56,58,56,54,53,57,58,61,58,62,68,68,69,67,66,65,79,83,71,57,54
[서울 광진구]광진구,59,52,54,53,54,55,60,55,56,55,60,61,60,61,62,64,66,65,67,68,69,68,70,73
[서울 구로구]구로구,50,56,59,66,61,62,65,64,65,70,73,67,70,83,78,75,69,67,67,70,76,83,89,85
[서울 금천구]금천구,52,47,58,56,54,52,49,47,48,50,47,-,-,76,72,67,67,61,60,56,59,63,59,63
[서울 노원구]노원구,53,55,58,58,57,62,66,63,64,63,65,62,61,64,65,68,71,73,77,79,87,86,90,89
[서울 도봉구]도봉구,58,57,54,54,56,60,62,60,66,58,66,-,63,70,64,73,71,72,75,77,80,78,80,81
[서울 동대문구]동대문구,51,45,50,55,57,55,59,60,63,62,66,65,68,68,70,-,-,57,76,77,83,82,82,84
[서울 동작구]동작구,50,51,57,60,62,58,57,56,60,59,58,60,67,71,71,70,67,64,61,65,72,76,81,83
[서울 마포구]마포구,38,37,40,42,-,46,-,-,-,48,46,-,63,64,67,66,57,54,52,50,61,-,68,-
[서울 서대문구]서대문구,45,45,48,48,56,53,54,49,56,54,56,62,59,-,63,65,60,66,59,54,60,66,65,70
[서울 서초구]서초구,54,57,60,56,60,60,59,57,74,75,73,80,74,80,77,82,84,82,82,81,91,86,85,74
[서울 성동구]성동구,48,46,52,56,56,60,57,53,60,58,61,60,64,-,-,63,75,73,75,72,74,72,74,72
[서울 성북구]성북구,51,50,50,52,51,53,57,60,59,63,72,72,69,72,72,65,71,71,68,73,78,76,73,75
[서울 송파구]송파구,48,43,46,50,51,51,51,49,51,49,52,54,56,56,61,63,64,63,65,66,72,70,73,70
[서울 양천구]양천구,55,48,58,57,65,63,66,62,68,68,75,71,72,75,82,73,71,64,64,66,77,79,88,87
[서울 영등포구]영등포구,40,41,46,46,50,50,54,51,52,54,58,60,61,63,67,64,58,55,52,57,66,72,81,79
[서울 용산구]용산구,39,42,46,42,47,45,45,46,48,51,-,-,-,54,63,52,57,57,65,59,64,58,62,58
[서울 은평구]은평구,57,54,46,56,58,59,60,62,60,60,64,66,72,76,78,83,83,78,73,60,65,71,74,78
[서울 종로구]종로구,48,43,48,54,56,56,59,59,59,62,68,70,68,-,-,63,75,74,74,73,82,80,82,82
[서울 중구]중구,47,44,49,55,63,63,65,61,71,72,76,78,80,79,81,-,-,69,83,86,81,77,80,77
[서울 중랑구]중랑구,56,56,52,52,52,55,60,62,61,61,61,61,62,63,64,66,68,72,72,70,70,74,74,75
