측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,10,12,12,12,13,10,15,17,20,24,17,11,15,15,11,24,20,17,15,18,13,17,12,19
[부산 강서구]대저동,16,10,16,17,13,20,19,13,20,26,21,14,8,8,11,14,17,14,21,18,12,14,15,16
[부산 강서구]명지동,15,17,18,13,9,11,17,16,18,18,18,18,9,14,14,14,15,17,15,18,14,16,16,23
[부산 금정구]청룡동,9,8,11,10,12,10,16,15,15,18,15,10,14,16,12,14,14,11,13,14,9,12,13,14
[부산 금정구]회동동,10,30,10,15,16,15,15,17,22,23,16,13,10,22,16,22,21,23,19,19,13,16,13,17
[부산 기장군]기장읍,5,5,4,12,9,6,13,13,17,16,9,5,22,10,12,11,17,23,19,14,15,10,13,13
[부산 기장군]용수리,11,17,16,17,12,12,18,18,26,14,20,15,14,18,19,17,17,20,27,15,11,13,21,14
[부산 남구]대연동,10,8,9,13,18,10,14,19,15,24,16,19,-,-,-,17,14,21,18,21,20,14,14,19
[부산 남구]용호동,10,12,11,10,11,7,7,7,16,6,12,8,-,-,15,12,14,19,18,5,12,13,18,13
[부산 동구]수정동,10,13,13,12,8,11,11,13,10,14,14,11,12,17,13,19,21,14,15,14,14,10,16,12
[부산 동래구]명장동,15,11,11,13,10,17,18,18,12,8,4,5,8,15,19,17,13,26,24,18,16,16,16,20
[부산 부산진구]개금동,13,27,15,17,15,16,21,21,30,40,31,13,19,19,16,21,19,16,27,18,14,20,15,24
[부산 부산진구]전포동,11,12,12,14,14,14,15,17,20,25,27,24,22,19,21,22,20,19,17,16,16,16,16,16
[부산 북구]덕천동,12,11,16,16,17,7,14,17,20,20,21,12,17,21,20,18,25,21,22,14,12,15,17,22
[부산 북구]화명동,10,10,17,21,18,14,19,23,14,27,19,14,13,11,20,16,25,19,23,15,26,12,16,19
[부산 사상구]덕포동,12,10,17,36,13,14,22,18,27,29,22,14,9,17,17,19,19,23,20,17,10,8,21,18
[부산 사상구]학장동,11,14,13,18,9,15,26,17,23,35,27,21,18,17,26,21,17,30,21,9,18,15,9,15
[부산 사하구]당리동,9,14,12,18,11,9,20,16,16,9,23,21,12,16,16,17,18,16,22,13,13,9,9,17
[부산 사하구]장림동,13,10,18,20,19,18,23,24,22,24,32,22,17,16,14,16,20,16,24,20,14,15,16,16
[부산 서구]대신동,10,9,15,11,7,9,10,21,23,19,12,15,13,15,20,17,19,21,19,16,18,19,18,16
[부산 수영구]광안동,11,11,13,12,7,11,16,20,15,14,5,6,10,13,13,14,21,27,21,16,15,15,16,17
[부산 연제구]연산동,9,8,8,12,9,9,12,12,14,15,20,7,6,12,19,14,16,17,15,25,22,27,22,15
[부산 영도구]청학동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,16,15,22,17,16,7,8,14,16
[부산 영도구]태종대,11,14,11,14,11,10,11,16,20,19,20,19,18,10,13,14,14,16,20,24,9,14,23,19
[부산 중구]광복동,12,6,12,12,9,15,11,9,17,12,16,19,11,14,20,14,16,21,21,18,16,13,12,12
[부산 해운대구]재송동,10,11,13,11,12,15,9,20,22,-,-,16,10,20,19,13,13,20,13,14,10,12,14,15
[부산 해운대구]좌동,7,9,9,5,5,7,6,11,10,8,12,10,18,18,15,14,16,19,19,19,17,13,16,11
