측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,40,44,38,42,48,54,54,58,48,80,80,99,75,58,51,48,43,39,36,61,51,53,52,37
[부산 강서구]대저동,42,38,36,40,40,35,40,38,45,53,63,67,67,66,55,43,28,27,38,37,35,43,34,24
[부산 강서구]명지동,41,41,40,42,42,43,43,48,48,63,71,76,74,67,-,-,-,34,34,43,46,39,46,36
[부산 금정구]청룡동,29,31,28,26,24,26,27,27,32,40,50,52,53,51,47,32,29,29,46,50,34,37,35,26
[부산 금정구]회동동,33,31,32,31,26,29,29,28,27,38,54,56,59,66,48,33,30,35,48,41,39,33,35,28
[부산 기장군]기장읍,31,25,27,30,32,24,29,32,35,40,43,-,-,-,49,45,27,52,62,44,30,31,37,22
[부산 기장군]용수리,29,25,31,31,32,32,25,27,31,35,45,56,66,62,55,36,53,68,52,40,36,33,31,35
[부산 남구]대연동,33,35,29,36,26,25,35,39,44,51,65,66,69,64,61,52,48,36,36,44,37,34,34,22
[부산 남구]용호동,30,32,30,25,32,36,30,33,35,50,77,63,69,69,61,60,44,29,37,39,29,33,36,21
[부산 동구]수정동,22,26,25,30,30,28,34,35,36,32,50,53,55,56,48,39,28,25,28,32,32,31,29,15
[부산 동래구]명장동,37,35,36,30,27,36,39,38,44,42,46,47,50,57,54,30,32,43,43,36,34,35,30,20
[부산 부산진구]개금동,35,43,41,28,36,65,50,52,55,61,74,82,76,72,70,59,49,39,45,51,44,42,43,36
[부산 부산진구]전포동,43,37,32,30,30,34,35,36,46,53,57,59,61,67,68,65,61,52,44,41,39,37,33,23
[부산 북구]덕천동,40,32,38,33,39,37,39,37,42,50,56,62,78,71,65,50,36,29,44,47,39,38,36,35
[부산 북구]화명동,33,40,32,36,35,33,40,42,44,52,61,64,69,64,55,48,33,36,50,48,48,44,45,30
[부산 사상구]덕포동,38,40,38,43,37,38,43,46,48,74,82,71,75,75,69,58,44,37,43,47,42,42,42,34
[부산 사상구]학장동,41,28,40,34,38,41,50,63,69,88,76,72,81,74,69,73,60,50,48,52,51,46,46,40
[부산 사하구]당리동,38,33,37,33,37,32,37,43,46,57,64,67,71,67,70,47,45,41,33,43,43,42,43,37
[부산 사하구]장림동,37,40,35,38,37,36,39,43,43,64,-,-,-,63,61,57,57,34,35,45,47,50,45,47
[부산 서구]대신동,32,29,33,29,36,35,35,34,46,52,63,68,77,73,69,62,48,42,42,48,47,46,53,41
[부산 수영구]광안동,39,32,35,31,39,40,37,35,41,45,48,52,50,58,51,41,32,32,39,34,32,35,25,23
[부산 연제구]연산동,33,30,31,30,24,27,27,30,34,34,51,58,57,66,57,44,31,21,29,45,33,34,36,28
[부산 영도구]청학동,28,26,27,26,31,28,31,32,38,50,52,60,63,57,58,50,45,32,32,41,42,38,37,31
[부산 영도구]태종대,34,34,35,44,36,36,39,41,38,49,53,59,60,49,54,45,41,34,33,46,43,40,40,31
[부산 중구]광복동,27,23,30,24,27,30,26,33,37,38,52,54,69,59,58,48,44,35,32,38,39,44,37,28
[부산 해운대구]재송동,32,16,33,28,27,29,36,33,37,53,50,66,67,62,67,62,43,46,49,38,39,47,35,29
[부산 해운대구]좌동,27,27,25,25,20,21,23,26,26,38,42,49,53,57,56,47,25,32,40,40,31,25,28,27
