측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,21,19,25,18,21,19,20,14,14,34,12,14,14,19,25,18,7,17,15,15,13,17,13,23
[부산 강서구]대저동,31,30,23,26,26,29,26,18,23,24,32,25,20,13,6,14,11,9,15,18,18,18,24,15
[부산 강서구]명지동,27,22,16,15,22,22,17,23,17,27,26,22,19,17,18,30,10,11,14,16,21,22,24,23
[부산 금정구]청룡동,23,20,16,18,18,18,21,16,18,28,25,19,12,9,10,6,4,15,27,33,34,26,22,30
[부산 금정구]회동동,20,20,23,21,18,16,20,20,32,27,20,15,21,12,10,9,7,17,23,23,23,18,18,22
[부산 기장군]기장읍,15,11,12,8,6,6,13,10,15,21,14,9,10,11,7,8,7,9,8,22,24,23,19,22
[부산 기장군]용수리,20,22,20,19,18,25,27,14,17,22,19,13,11,10,11,7,10,22,26,37,31,27,30,25
[부산 남구]대연동,17,13,13,12,9,9,9,12,19,26,26,17,19,11,14,13,17,19,15,16,20,22,21,28
[부산 남구]용호동,20,11,13,11,15,6,7,9,6,11,16,16,17,11,20,12,12,12,14,14,18,19,19,16
[부산 동구]수정동,10,10,17,10,9,19,11,17,11,5,4,7,7,8,7,11,12,10,13,19,17,16,16,17
[부산 동래구]명장동,22,24,21,24,16,20,21,19,22,13,6,10,8,3,2,3,9,22,23,24,26,28,22,21
[부산 부산진구]개금동,33,33,25,25,19,16,22,25,23,26,32,30,22,27,23,17,17,12,18,27,27,31,32,23
[부산 부산진구]전포동,24,20,21,19,13,13,11,17,36,37,40,38,30,26,20,21,17,15,12,17,19,21,24,22
[부산 북구]덕천동,34,23,27,26,22,20,28,26,21,27,32,36,23,24,8,13,19,17,18,26,27,27,27,27
[부산 북구]화명동,31,25,31,25,17,20,31,33,29,31,38,39,22,25,17,18,16,17,32,45,36,30,38,29
[부산 사상구]덕포동,33,32,28,26,24,24,24,27,24,26,32,25,19,18,16,19,14,15,31,21,26,30,27,27
[부산 사상구]학장동,34,29,26,26,25,19,25,19,27,25,29,22,27,23,14,16,12,15,16,19,24,26,23,22
[부산 사하구]당리동,22,21,19,18,17,21,18,18,22,28,24,22,18,16,19,11,12,10,10,18,13,22,18,25
[부산 사하구]장림동,22,40,40,53,36,34,19,20,20,28,27,23,21,15,24,20,16,13,14,19,18,16,19,23
[부산 서구]대신동,27,23,23,24,20,19,19,16,21,25,27,27,17,16,11,13,13,14,16,16,28,27,26,27
[부산 수영구]광안동,17,14,22,17,11,10,11,11,18,21,9,4,3,4,3,10,13,15,19,20,19,21,21,23
[부산 연제구]연산동,16,8,12,15,11,11,13,17,14,25,24,11,8,13,10,6,8,15,14,13,20,15,17,21
[부산 영도구]청학동,12,14,11,9,12,7,5,7,7,12,10,9,10,9,10,10,10,15,9,13,11,16,18,24
[부산 영도구]태종대,14,16,14,14,11,10,10,8,13,20,18,16,11,11,9,11,13,9,18,16,18,19,20,23
[부산 중구]광복동,13,21,15,17,14,18,12,9,10,19,15,14,16,15,10,14,16,12,12,20,20,24,21,24
[부산 해운대구]재송동,14,18,19,21,17,13,15,17,25,23,16,24,20,18,16,13,15,24,20,19,26,17,21,20
[부산 해운대구]좌동,11,10,14,9,11,11,8,16,13,21,14,15,12,12,9,8,9,16,20,15,24,21,25,21
