측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,30,25,27,29,37,33,38,37,46,47,48,43,40,44,41,39,43,40,43,45,46,50,53,64
[부산 강서구]대저동,42,41,28,28,32,29,26,27,36,43,42,35,35,39,36,41,37,42,42,50,57,63,54,52
[부산 강서구]명지동,28,30,27,29,29,33,30,30,33,36,36,42,43,39,44,50,46,46,48,58,54,53,56,56
[부산 금정구]청룡동,22,20,23,22,23,27,30,32,35,39,38,37,40,44,43,45,46,48,60,58,58,46,49,47
[부산 금정구]회동동,27,30,22,26,27,24,28,30,33,36,43,43,38,38,41,42,44,45,48,53,48,46,56,50
[부산 기장군]기장읍,23,21,14,20,20,26,31,30,30,32,39,38,37,37,34,40,41,43,44,46,53,53,43,46
[부산 기장군]용수리,19,27,24,31,27,24,27,30,32,39,43,45,42,44,45,40,46,46,48,54,54,53,51,54
[부산 남구]대연동,31,34,23,22,25,25,27,27,28,42,33,27,29,34,33,36,46,50,54,54,52,54,52,53
[부산 남구]용호동,27,30,24,25,27,30,33,29,25,35,39,38,36,41,40,46,41,38,54,53,55,49,51,48
[부산 동구]수정동,23,22,23,14,20,17,12,17,28,26,30,33,34,39,34,32,36,33,41,46,46,47,49,51
[부산 동래구]명장동,22,24,25,25,23,34,35,33,31,28,26,30,36,37,40,41,39,51,56,54,55,51,55,56
[부산 부산진구]개금동,32,34,30,29,32,33,28,29,40,37,47,44,44,47,51,48,53,50,53,60,57,63,62,59
[부산 부산진구]전포동,34,32,29,27,27,27,28,31,32,39,44,48,48,52,53,54,52,48,52,56,58,59,60,60
[부산 북구]덕천동,27,29,27,31,30,28,27,30,33,41,43,37,42,51,47,45,51,49,49,54,63,62,59,53
[부산 북구]화명동,36,37,34,28,32,33,34,29,33,39,45,48,42,45,47,49,50,52,64,60,62,61,61,57
[부산 사상구]덕포동,36,30,29,30,31,31,29,37,34,37,39,38,41,44,43,46,47,50,54,48,62,56,62,54
[부산 사상구]학장동,34,34,36,26,31,33,35,35,39,40,44,43,48,49,52,50,48,47,50,55,50,49,61,60
[부산 사하구]당리동,26,33,24,25,24,22,28,28,29,33,32,40,40,42,47,42,50,45,46,45,41,50,52,52
[부산 사하구]장림동,30,28,24,29,21,27,24,27,29,33,33,39,39,42,38,41,37,39,39,45,45,44,51,52
[부산 서구]대신동,29,28,25,29,28,33,32,32,36,41,39,41,49,50,47,49,50,43,53,42,48,48,60,57
[부산 수영구]광안동,23,22,21,22,21,26,32,38,32,29,34,28,34,36,37,39,42,48,51,51,46,48,51,47
[부산 연제구]연산동,19,22,22,21,28,22,27,27,27,37,42,34,35,42,37,40,36,43,42,46,45,48,48,47
[부산 영도구]청학동,22,23,24,25,25,25,23,28,28,32,33,32,33,35,37,38,41,44,42,39,38,44,55,53
[부산 영도구]태종대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[부산 중구]광복동,27,20,23,25,22,22,18,26,31,34,33,31,39,39,43,39,45,46,48,48,49,45,49,45
[부산 해운대구]재송동,26,23,24,24,24,27,30,35,33,42,38,37,38,42,41,40,40,44,47,43,51,49,52,50
[부산 해운대구]좌동,13,14,14,13,16,22,25,25,25,27,28,26,34,35,30,39,40,40,39,45,49,42,48,49
