측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,58,56,60,66,62,65,65,75,76,78,66,66,46,45,42,47,40,30,39,38,35,29,42,66
[부산 강서구]대저동,52,54,54,59,60,62,69,73,84,76,70,57,49,47,40,38,42,29,34,40,39,35,31,42
[부산 강서구]명지동,57,56,53,61,59,63,71,72,74,85,86,69,65,35,40,49,47,32,38,45,39,37,39,48
[부산 금정구]청룡동,53,57,50,54,46,51,51,56,72,61,50,44,35,26,36,46,50,46,37,36,39,40,45,49
[부산 금정구]회동동,46,55,50,54,52,51,53,67,65,65,51,47,41,28,36,41,44,48,38,40,51,62,51,47
[부산 기장군]기장읍,54,50,51,32,49,54,46,53,62,51,41,33,29,34,37,29,42,38,26,35,31,40,50,45
[부산 기장군]용수리,60,57,42,44,60,62,58,55,57,68,44,37,35,34,39,47,43,53,44,38,45,49,46,44
[부산 남구]대연동,54,57,51,57,58,63,60,67,75,70,64,48,28,25,23,38,46,38,42,48,50,49,46,42
[부산 남구]용호동,50,57,55,58,54,58,57,55,65,67,39,43,28,30,20,37,41,37,35,37,48,51,43,48
[부산 동구]수정동,46,48,50,54,55,55,58,58,53,53,36,30,33,27,41,53,43,32,36,41,40,41,34,32
[부산 동래구]명장동,55,54,55,54,59,64,68,65,57,54,43,30,29,25,23,38,45,41,45,49,51,47,49,47
[부산 부산진구]개금동,53,56,55,67,58,67,68,80,81,88,80,75,48,51,33,36,46,37,31,47,51,44,48,46
[부산 부산진구]전포동,54,55,57,59,63,67,69,76,82,85,89,81,67,52,44,48,50,48,43,45,47,48,50,47
[부산 북구]덕천동,45,52,55,51,54,53,61,68,74,69,69,58,47,53,46,45,46,46,33,40,42,39,42,46
[부산 북구]화명동,47,51,56,53,57,56,56,62,61,75,79,66,41,43,47,39,50,43,36,41,42,43,51,48
[부산 사상구]덕포동,54,54,59,61,62,66,62,77,83,81,80,66,50,70,33,35,50,39,37,46,41,43,38,40
[부산 사상구]학장동,58,56,61,61,51,52,70,61,111,88,78,67,53,45,39,51,46,36,42,46,37,40,40,44
[부산 사하구]당리동,50,58,57,51,60,62,64,67,69,80,83,71,61,42,41,59,48,37,36,42,44,41,42,36
[부산 사하구]장림동,50,47,54,58,59,57,61,71,69,81,83,68,52,32,40,48,40,30,27,38,39,37,39,44
[부산 서구]대신동,61,58,60,64,64,69,65,76,82,83,76,56,48,24,37,53,52,34,38,51,53,51,53,44
[부산 수영구]광안동,52,54,48,53,50,59,60,61,62,62,41,28,16,18,21,37,36,36,43,50,52,51,47,42
[부산 연제구]연산동,53,55,49,54,53,53,54,60,63,68,60,55,35,36,35,46,45,35,35,39,46,46,44,39
[부산 영도구]청학동,50,55,52,57,54,57,58,59,59,62,50,-,-,-,23,39,42,34,35,42,45,40,40,41
[부산 영도구]태종대,48,50,55,50,58,60,58,59,63,60,43,40,41,38,40,41,43,30,35,43,45,46,38,43
[부산 중구]광복동,49,55,51,56,55,60,64,69,65,69,62,39,39,31,38,54,50,38,39,48,50,49,46,40
[부산 해운대구]재송동,50,58,46,54,48,51,54,60,58,73,67,49,40,37,48,35,46,40,30,41,46,45,42,48
[부산 해운대구]좌동,53,53,48,33,44,59,50,50,53,51,38,34,35,44,33,28,40,36,35,34,34,43,40,44
