측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,60,44,28,20,27,23,26,25,27,32,30,37,37,29,24,32,31,31,24,48,42,29,32,40
[부산 강서구]대저동,49,31,21,18,16,16,18,18,27,40,27,20,20,22,15,21,18,19,25,28,27,30,33,35
[부산 강서구]명지동,61,42,26,18,22,17,21,30,29,34,26,35,31,27,27,27,23,26,26,32,39,34,25,27
[부산 금정구]청룡동,55,34,19,17,10,20,18,20,23,17,21,20,21,20,18,12,16,22,18,31,32,30,28,25
[부산 금정구]회동동,48,31,20,19,15,20,17,23,30,38,32,24,25,24,25,25,40,38,32,32,40,32,30,30
[부산 기장군]기장읍,54,29,27,15,16,14,17,24,17,15,16,21,21,25,24,29,33,29,29,27,28,36,27,29
[부산 기장군]용수리,46,37,23,23,12,12,12,14,17,26,14,21,24,20,22,26,31,35,30,26,32,23,27,24
[부산 남구]대연동,48,25,18,17,10,13,16,24,27,28,30,36,26,25,26,29,32,32,30,30,32,33,33,29
[부산 남구]용호동,62,28,19,16,14,11,13,10,18,18,11,19,17,11,23,23,30,23,30,35,28,27,34,31
[부산 동구]수정동,54,25,22,13,15,14,25,18,24,24,27,22,29,23,21,25,25,23,28,27,25,23,23,41
[부산 동래구]명장동,42,28,21,16,21,18,21,21,17,11,12,13,-,-,-,-,33,33,39,33,37,35,44,39
[부산 부산진구]개금동,63,40,26,14,20,10,23,24,32,42,36,33,36,37,36,40,30,31,29,32,36,34,30,31
[부산 부산진구]전포동,119,80,49,31,21,17,19,19,21,23,27,35,37,36,38,41,38,37,33,32,33,34,34,32
[부산 북구]덕천동,61,32,26,18,14,18,18,18,16,22,27,27,27,23,24,28,23,27,28,32,35,33,30,33
[부산 북구]화명동,55,32,24,22,18,19,22,26,32,35,31,26,-,-,-,-,-,-,-,-,-,-,-,-
[부산 사상구]덕포동,59,35,22,19,16,17,27,30,42,42,33,35,29,-,31,28,24,30,27,35,38,28,30,30
[부산 사상구]학장동,58,23,23,17,20,19,26,37,52,49,40,41,39,34,36,44,47,44,29,36,33,27,27,19
[부산 사하구]당리동,62,33,27,15,11,9,16,20,34,53,35,26,35,39,30,33,40,31,36,30,35,32,26,16
[부산 사하구]장림동,75,41,27,23,22,20,16,24,35,36,33,35,41,25,27,29,27,30,32,29,35,37,29,34
[부산 서구]대신동,74,45,36,27,26,21,19,24,28,35,29,33,34,29,30,32,-,-,29,33,35,41,31,25
[부산 수영구]광안동,46,30,19,15,6,11,18,19,17,16,17,19,13,13,15,27,38,38,38,32,33,31,30,35
[부산 연제구]연산동,52,36,21,15,19,16,19,22,19,22,23,22,-,-,19,15,15,19,28,31,32,30,27,25
[부산 영도구]청학동,53,35,24,17,15,15,16,17,16,25,16,26,22,25,23,33,25,22,27,27,26,29,25,21
[부산 영도구]태종대,59,38,25,11,16,6,19,18,19,29,18,20,24,25,24,23,23,19,29,29,28,29,29,29
[부산 중구]광복동,64,35,26,17,20,20,18,24,23,17,28,33,32,26,24,24,30,21,32,29,37,31,34,31
[부산 해운대구]재송동,58,36,34,20,19,19,21,20,25,25,21,27,24,20,27,35,29,27,24,29,30,37,32,34
[부산 해운대구]좌동,56,32,28,13,12,18,13,18,16,13,19,22,20,18,22,33,28,30,26,30,33,29,25,27
