측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,31,26,18,30,41,50,53,55,56,60,61,56,51,56,66,69,57,46,44,47,47,37,59,61
[부산 강서구]대저동,7,10,15,34,34,42,36,57,51,40,36,45,37,42,44,42,41,37,36,37,40,36,33,37
[부산 강서구]명지동,37,30,21,30,41,49,50,57,53,59,55,-,-,58,60,47,43,47,37,44,39,46,48,51
[부산 금정구]청룡동,16,17,20,18,27,35,41,43,55,52,53,51,44,45,50,44,48,48,47,44,49,43,46,44
[부산 금정구]회동동,33,17,19,20,24,31,36,44,55,55,52,45,44,56,52,60,48,49,60,58,51,41,40,42
[부산 기장군]기장읍,21,12,18,21,37,40,40,45,46,46,44,43,59,48,45,44,44,40,46,44,46,42,41,38
[부산 기장군]용수리,21,22,22,22,31,37,49,55,54,54,50,54,51,51,55,49,48,48,46,44,49,44,50,46
[부산 남구]대연동,23,13,17,29,46,55,55,55,55,55,51,51,59,49,41,44,47,49,50,48,45,42,43,47
[부산 남구]용호동,33,23,15,25,38,46,46,44,47,45,43,40,52,60,45,40,34,37,38,41,41,38,43,40
[부산 동구]수정동,8,9,22,34,43,45,43,46,42,39,40,40,44,53,52,48,44,45,41,38,38,33,36,43
[부산 동래구]명장동,25,19,19,31,42,48,52,50,41,40,38,34,39,42,43,41,35,45,51,54,51,54,53,51
[부산 부산진구]개금동,35,16,25,30,45,57,58,64,58,85,69,61,56,62,88,98,53,47,53,49,48,45,42,49
[부산 부산진구]전포동,36,29,27,29,38,45,49,53,57,61,65,66,64,62,60,57,56,53,50,46,48,50,50,51
[부산 북구]덕천동,21,4,27,40,44,43,48,50,49,56,51,50,48,53,47,56,60,45,49,49,53,54,48,45
[부산 북구]화명동,27,19,23,33,46,50,48,48,54,49,51,57,56,52,54,61,53,52,54,50,49,44,40,42
[부산 사상구]덕포동,22,13,27,33,51,55,51,54,54,61,51,50,51,59,53,62,53,49,48,44,50,46,47,45
[부산 사상구]학장동,27,13,17,24,37,50,56,65,68,64,63,64,64,59,68,61,52,52,45,37,43,46,42,46
[부산 사하구]당리동,28,14,22,32,47,50,47,55,57,56,67,59,64,62,72,63,46,53,48,45,48,40,38,50
[부산 사하구]장림동,39,27,27,41,48,49,46,48,48,55,58,60,60,54,52,52,44,49,47,45,45,45,52,55
[부산 서구]대신동,20,19,23,30,48,52,59,50,61,61,63,51,52,58,56,54,50,55,46,44,44,45,43,44
[부산 수영구]광안동,13,16,21,26,48,51,45,50,47,44,43,36,48,44,42,40,31,41,48,47,45,46,48,48
[부산 연제구]연산동,15,12,16,27,36,43,42,47,52,52,47,49,45,44,53,46,44,50,44,41,42,43,46,46
[부산 영도구]청학동,16,9,28,27,41,38,47,47,48,46,47,45,51,56,47,44,45,48,44,45,32,43,35,47
[부산 영도구]태종대,26,14,25,30,40,49,49,48,51,48,53,44,53,51,49,46,44,40,43,46,38,43,45,48
[부산 중구]광복동,26,13,18,29,40,49,49,48,48,53,49,55,47,53,52,45,42,48,43,45,48,39,45,52
[부산 해운대구]재송동,20,12,18,26,32,34,45,43,46,57,58,44,46,48,53,46,44,47,40,45,44,36,43,43
[부산 해운대구]좌동,16,14,15,25,28,35,41,44,46,45,49,45,61,51,48,48,46,47,45,42,44,39,39,37
