측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,20,16,22,16,17,15,21,17,20,25,17,17,18,26,18,16,17,20,20,14,12,15,21,27
[부산 강서구]대저동,14,15,12,15,19,16,13,21,22,13,18,15,11,9,16,7,16,18,16,16,12,19,20,17
[부산 강서구]명지동,21,26,21,20,20,20,24,24,29,28,33,23,22,19,21,17,24,18,19,15,16,21,24,24
[부산 금정구]청룡동,16,18,17,15,14,12,19,17,24,25,17,17,10,12,15,17,19,18,17,17,18,17,19,23
[부산 금정구]회동동,20,21,17,19,14,17,20,23,29,26,22,10,17,22,21,25,17,17,20,20,23,18,21,17
[부산 기장군]기장읍,13,16,13,17,14,8,15,14,12,14,21,17,18,16,17,18,15,12,16,21,23,18,16,16
[부산 기장군]용수리,16,15,20,15,18,19,20,21,23,19,12,19,20,20,29,29,20,21,22,27,24,26,21,32
[부산 남구]대연동,15,17,15,15,9,14,17,18,18,23,20,25,23,23,10,18,15,17,23,21,25,22,17,21
[부산 남구]용호동,12,15,19,11,14,19,8,21,15,11,13,13,17,13,23,14,21,16,14,13,21,17,12,16
[부산 동구]수정동,13,14,14,12,14,16,14,16,16,21,18,14,14,19,20,19,19,17,18,16,17,11,16,15
[부산 동래구]명장동,19,17,19,19,19,21,27,21,15,15,4,5,10,20,19,19,16,21,20,22,23,26,23,22
[부산 부산진구]개금동,15,17,16,20,20,19,31,30,20,34,30,27,28,13,23,25,18,15,14,20,22,19,27,29
[부산 부산진구]전포동,19,14,12,12,14,14,15,19,24,29,29,28,26,28,27,24,22,20,17,19,22,27,31,30
[부산 북구]덕천동,24,20,17,19,24,20,22,20,30,26,27,12,19,18,23,22,16,17,22,19,20,29,19,23
[부산 북구]화명동,20,20,21,20,23,20,20,20,32,23,24,20,19,21,27,31,28,26,20,22,28,28,25,24
[부산 사상구]덕포동,21,24,18,23,22,19,22,32,32,53,25,25,18,16,20,21,22,18,13,17,20,20,19,22
[부산 사상구]학장동,16,14,17,15,16,19,21,27,28,35,30,22,27,15,21,26,21,15,15,12,16,20,18,22
[부산 사하구]당리동,17,19,14,11,15,17,19,19,16,22,30,27,26,21,27,27,24,14,16,17,19,16,14,12
[부산 사하구]장림동,22,20,22,19,22,24,22,22,23,29,29,25,18,18,24,22,20,10,22,17,17,23,21,15
[부산 서구]대신동,19,18,9,12,15,19,12,18,31,22,28,20,15,25,21,19,20,19,16,20,17,17,21,16
[부산 수영구]광안동,12,17,21,17,14,18,16,21,17,13,14,14,17,18,13,17,15,15,21,20,21,22,23,24
[부산 연제구]연산동,17,19,14,20,20,17,22,17,19,23,20,14,14,19,23,21,22,22,16,12,18,21,25,27
[부산 영도구]청학동,14,19,16,14,15,10,15,16,14,24,21,12,14,16,14,14,14,15,9,12,16,13,13,14
[부산 영도구]태종대,15,16,24,18,11,16,16,19,13,18,24,23,19,21,20,20,11,14,23,19,19,10,19,13
[부산 중구]광복동,15,9,14,12,9,16,13,13,14,16,18,14,18,26,27,18,9,12,14,17,21,21,22,17
[부산 해운대구]재송동,17,15,15,14,13,19,15,23,23,28,21,13,18,21,19,21,21,20,16,15,20,21,17,24
[부산 해운대구]좌동,18,12,16,14,15,10,15,14,15,9,17,17,22,23,19,20,21,21,16,17,28,13,17,20
