측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[부산 강서구]녹산동,16,12,11,17,25,31,28,29,33,20,23,11,15,14,14,13,8,6,10,13,13,15,7,13
[부산 강서구]대저동,17,14,16,16,18,20,30,28,15,8,5,2,4,5,4,4,6,4,7,12,16,27,22,27
[부산 강서구]명지동,19,25,18,18,21,25,34,32,25,16,15,11,12,7,6,9,14,11,9,15,22,16,17,18
[부산 금정구]청룡동,11,10,19,22,31,28,17,6,12,9,5,5,6,10,7,4,6,14,14,16,11,9,16,16
[부산 금정구]회동동,12,16,25,19,33,31,28,15,15,9,15,6,6,9,10,9,11,10,12,13,17,14,12,13
[부산 기장군]기장읍,11,11,18,23,25,29,16,10,6,8,5,5,4,2,3,6,6,7,13,13,15,11,11,12
[부산 기장군]용수리,15,17,20,31,33,27,16,13,16,6,8,8,6,3,8,6,6,9,12,17,20,16,20,16
[부산 남구]대연동,12,15,16,16,25,28,25,22,11,8,9,5,9,6,5,5,8,13,12,12,16,20,28,18
[부산 남구]용호동,10,15,16,14,13,22,21,23,16,9,5,3,6,9,8,11,7,9,13,10,6,10,16,18
[부산 동구]수정동,13,17,17,15,17,29,30,21,11,6,8,6,3,8,3,6,8,10,10,6,8,5,9,11
[부산 동래구]명장동,16,17,23,28,37,31,21,6,4,2,2,2,2,7,3,10,11,13,14,19,24,17,15,20
[부산 부산진구]개금동,17,13,19,15,20,27,29,32,28,17,17,11,9,12,9,12,10,11,14,17,20,21,19,28
[부산 부산진구]전포동,5,6,3,6,13,21,24,17,11,6,8,15,23,32,31,31,26,19,14,12,11,13,11,11
[부산 북구]덕천동,12,19,18,17,19,28,30,17,20,15,11,19,8,11,13,12,9,8,11,18,16,19,23,23
[부산 북구]화명동,16,20,14,19,24,29,36,17,16,16,11,11,14,11,17,16,14,25,22,23,24,17,21,20
[부산 사상구]덕포동,14,16,16,13,18,29,28,40,21,10,9,8,19,6,6,7,9,8,9,11,23,26,21,21
[부산 사상구]학장동,17,19,19,16,21,26,33,41,31,24,13,12,11,15,11,11,10,10,11,14,12,16,18,21
[부산 사하구]당리동,12,11,17,17,17,27,29,29,28,19,16,11,9,8,7,9,4,7,7,8,11,14,10,13
[부산 사하구]장림동,15,19,14,16,21,32,29,29,24,17,21,15,15,15,12,11,7,6,14,19,19,26,15,15
[부산 서구]대신동,20,16,15,18,17,26,38,33,21,12,13,10,6,6,13,9,7,12,10,17,14,13,19,16
[부산 수영구]광안동,13,18,21,33,32,30,27,17,5,3,2,2,2,4,6,6,8,12,12,15,19,16,21,15
[부산 연제구]연산동,14,16,16,21,26,27,30,18,14,10,5,5,4,6,11,8,6,6,6,10,17,20,20,14
[부산 영도구]청학동,11,10,10,17,18,24,30,26,20,13,8,6,5,4,6,3,2,6,8,8,10,14,9,11
[부산 영도구]태종대,11,18,9,14,16,25,27,23,14,38,3,5,9,8,5,8,6,9,8,8,6,6,11,8
[부산 중구]광복동,15,14,12,16,20,26,29,22,14,12,8,6,6,11,11,10,7,14,16,13,17,15,15,13
[부산 해운대구]재송동,12,16,17,24,30,28,31,15,12,9,5,2,4,5,5,3,7,10,10,13,28,16,14,13
[부산 해운대구]좌동,8,17,21,23,31,35,28,18,8,9,11,9,5,5,11,10,8,10,10,10,20,16,15,13
