측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,45,45,48,45,45,36,28,26,35,40,54,49,55,39,42,34,28,27,33,45,53,61,63,58
[대전 대덕구]읍내동,40,47,53,48,47,47,49,53,56,63,78,78,48,37,40,29,18,26,34,40,53,59,61,64
[대전 동구]대성동,45,40,39,38,38,35,36,38,44,45,47,50,46,46,42,32,21,20,19,29,28,42,42,40
[대전 동구]성남동1,49,51,51,46,40,44,45,48,47,56,60,58,57,38,38,33,21,22,25,31,35,57,52,50
[대전 서구]둔산동,36,33,36,45,41,32,34,37,54,57,44,39,46,40,35,23,32,52,32,36,48,54,49,54
[대전 서구]정림동,44,42,43,42,38,48,40,43,39,43,43,52,46,42,34,32,24,23,27,30,33,34,35,35
[대전 유성구]관평동,50,43,39,45,47,43,47,52,50,56,72,66,53,50,43,36,31,29,30,41,50,51,62,57
[대전 유성구]구성동,38,37,38,34,33,37,34,36,37,45,54,48,58,38,38,42,29,24,27,29,41,47,43,44
[대전 유성구]노은동,34,35,38,37,40,41,36,46,61,43,56,57,52,48,43,34,25,27,30,28,35,44,51,47
[대전 유성구]상대동(대전),41,36,36,38,36,34,36,43,49,42,46,50,46,37,37,35,27,26,31,32,41,45,47,48
[대전 중구]문창동,52,51,49,42,47,49,45,46,54,62,60,58,55,40,44,37,24,25,28,32,38,42,44,46
