측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,20,22,24,24,22,25,25,26,32,33,35,34,40,26,27,26,28,31,36,33,34,34,31,26
[대전 대덕구]읍내동,17,18,20,19,20,23,23,27,26,39,38,37,37,35,35,27,32,30,37,35,32,36,31,23
[대전 동구]대성동,13,14,14,13,9,12,10,18,16,26,22,23,25,22,24,32,34,30,23,26,27,24,25,23
[대전 동구]성남동1,20,19,20,21,23,20,21,19,22,31,33,33,32,34,28,36,32,28,27,34,31,31,27,27
[대전 서구]둔산동,17,22,20,21,14,23,14,19,14,28,26,-,-,-,-,21,23,30,27,29,27,24,12,18
[대전 서구]정림동,14,13,20,14,15,18,13,16,17,18,21,21,38,25,25,22,24,24,26,20,21,21,27,19
[대전 유성구]관평동,22,23,20,22,25,28,26,25,30,38,35,36,37,30,32,26,29,29,39,43,37,43,41,34
[대전 유성구]구성동,15,16,19,17,17,15,18,20,21,24,28,36,36,38,31,27,20,17,29,25,27,27,27,20
[대전 유성구]노은동,18,15,14,20,21,15,21,17,19,25,26,-,-,-,27,23,24,29,33,29,28,27,21,12
[대전 유성구]상대동(대전),16,19,16,19,20,19,21,21,22,37,34,26,22,27,26,28,23,26,26,27,29,20,23,18
[대전 중구]문창동,24,17,21,23,24,19,19,19,20,26,34,36,30,34,32,33,33,28,28,34,34,32,34,30
