측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,32,38,37,33,32,33,34,36,37,43,37,29,30,27,28,33,24,13,8,18,17,21,23,21
[대전 대덕구]읍내동,38,40,32,35,32,36,39,47,50,46,35,34,36,36,44,47,38,26,16,13,15,23,20,20
[대전 동구]대성동,30,24,25,26,23,27,28,28,40,36,47,35,39,33,36,37,24,16,11,14,9,18,15,19
[대전 동구]성남동1,34,32,29,30,30,35,37,38,37,40,35,43,46,34,30,38,28,17,13,10,17,19,21,21
[대전 서구]둔산동,33,32,30,30,31,28,38,42,41,37,24,33,38,24,21,23,28,19,4,8,15,17,16,22
[대전 서구]정림동,27,25,28,27,25,27,28,27,35,31,38,33,29,32,31,32,23,13,12,8,5,13,15,15
[대전 유성구]관평동,38,37,42,36,34,40,39,40,43,50,34,27,27,30,29,31,23,12,10,15,17,22,24,27
[대전 유성구]구성동,30,29,30,28,24,27,28,31,32,32,32,32,35,27,27,30,18,13,9,8,7,14,15,19
[대전 유성구]노은동,29,35,30,30,27,34,30,36,33,38,27,34,33,26,25,22,22,9,15,6,6,15,17,20
[대전 유성구]상대동(대전),32,25,33,32,32,36,32,36,41,36,50,38,40,24,23,27,25,11,8,12,11,13,18,19
[대전 중구]문창동,39,37,37,33,34,35,35,40,40,46,43,46,44,-,-,-,27,34,17,17,15,24,21,22
