측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,30,33,28,38,35,32,31,28,34,37,47,38,33,25,26,23,24,26,31,35,81,43,44,45
[대전 대덕구]읍내동,38,38,34,31,29,34,31,29,30,32,34,29,30,31,34,24,26,35,37,43,52,49,44,44
[대전 동구]대성동,23,25,27,26,22,19,22,19,20,24,25,30,28,32,31,28,29,26,30,28,47,47,41,42
[대전 동구]성남동1,31,29,34,28,28,25,27,26,28,29,36,39,28,30,27,29,21,30,32,33,44,53,50,48
[대전 서구]둔산동,29,32,34,27,30,28,29,26,35,35,20,25,32,28,19,29,41,34,33,37,50,40,33,38
[대전 서구]정림동,26,25,27,23,24,22,27,17,28,19,30,29,28,19,8,24,42,33,35,32,36,37,30,29
[대전 유성구]관평동,32,31,30,26,29,29,30,25,28,34,39,37,31,28,22,26,22,32,38,42,47,43,50,54
[대전 유성구]구성동,29,27,29,27,23,24,29,32,23,22,34,31,31,22,28,21,25,26,31,35,43,48,43,33
[대전 유성구]노은동,28,24,29,25,27,24,26,23,28,35,34,36,31,33,27,21,27,32,33,32,39,44,49,49
[대전 유성구]상대동(대전),31,30,31,23,30,27,25,25,24,27,30,27,25,24,25,23,29,37,35,41,46,47,43,38
[대전 중구]문창동,32,31,31,28,30,29,26,27,25,32,31,41,31,34,30,29,26,31,35,39,56,53,50,51
