측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,51,49,53,56,55,56,50,48,62,52,62,68,59,50,52,49,44,48,47,41,41,40,41,36
[대전 대덕구]읍내동,90,86,80,75,68,67,70,80,75,83,103,57,42,41,45,40,35,35,44,49,45,41,36,37
[대전 동구]대성동,57,42,44,41,36,39,44,40,42,48,62,84,64,46,41,39,44,35,40,49,38,30,40,29
[대전 동구]성남동1,63,62,55,51,49,47,51,57,53,68,90,73,72,50,44,48,43,40,33,37,41,39,39,31
[대전 서구]둔산동,58,62,68,71,60,64,60,60,55,73,81,41,48,53,47,46,49,46,36,42,43,35,35,30
[대전 서구]정림동,58,66,64,58,58,56,49,53,56,59,63,57,46,48,47,45,44,39,36,42,38,43,38,35
[대전 유성구]관평동,61,60,62,59,57,58,52,58,62,62,77,73,56,48,54,48,45,43,39,40,37,34,32,38
[대전 유성구]구성동,61,58,60,51,52,50,49,44,44,55,70,82,50,51,46,44,44,39,41,38,47,38,38,35
[대전 유성구]노은동,64,58,57,62,60,54,62,57,56,64,68,75,62,49,60,71,52,44,46,35,40,39,35,31
[대전 유성구]상대동(대전),65,58,60,55,53,48,51,60,70,70,69,55,53,52,67,61,46,51,44,39,47,36,30,31
[대전 중구]문창동,62,61,55,56,52,45,50,58,56,73,89,78,59,50,47,47,40,45,40,39,38,43,49,35
