측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,38,35,27,25,20,21,25,27,28,29,24,25,16,11,10,9,8,9,9,9,15,15,9,15
[대전 대덕구]읍내동,32,37,34,29,25,25,24,33,30,32,31,30,25,17,8,6,6,10,14,12,15,11,10,14
[대전 동구]대성동,28,25,21,18,9,8,15,15,24,23,19,24,15,18,10,10,7,9,8,8,11,9,10,15
[대전 동구]성남동1,31,27,18,20,9,8,19,18,20,19,18,20,17,19,13,13,13,8,8,10,9,8,11,10
[대전 서구]둔산동,20,20,17,12,8,11,17,19,22,19,18,16,26,20,12,6,14,19,11,13,7,11,5,10
[대전 서구]정림동,37,34,29,24,17,20,24,24,23,25,27,26,22,18,14,16,13,10,12,16,17,20,20,18
[대전 유성구]관평동,38,37,30,20,19,22,18,22,25,24,20,18,17,14,12,9,7,10,10,11,10,17,15,17
[대전 유성구]구성동,36,38,27,19,17,19,17,19,22,23,19,16,15,9,10,11,11,7,6,6,11,8,7,13
[대전 유성구]노은동,31,21,24,19,13,14,17,21,19,18,17,18,11,10,8,9,11,7,5,7,14,15,14,19
[대전 유성구]상대동(대전),35,37,27,23,11,19,23,25,19,17,23,19,16,10,14,13,8,8,9,15,36,27,21,19
[대전 중구]문창동,36,30,28,30,22,16,30,28,30,27,24,27,17,20,16,11,7,10,11,12,20,10,11,18
