측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,129,72,48,56,68,81,72,67,68,69,69,64,58,64,61,60,59,61,69,91,95,89,78,74
[대전 대덕구]읍내동,116,88,55,55,57,65,73,66,62,64,63,64,54,49,54,61,71,63,72,90,95,88,79,82
[대전 동구]대성동,118,106,83,48,53,54,53,68,59,60,61,67,56,50,41,49,50,53,54,59,75,79,77,76
[대전 동구]성남동1,127,98,62,58,61,63,79,77,77,83,73,74,59,53,59,67,92,86,73,90,102,103,90,82
[대전 서구]둔산동,116,84,57,52,54,59,51,62,57,60,52,41,49,42,42,44,78,55,64,82,83,80,80,73
[대전 서구]정림동,88,78,46,30,38,39,43,41,34,30,50,48,49,38,43,36,54,54,58,72,80,79,75,68
[대전 유성구]관평동,140,91,52,68,71,79,85,75,72,75,72,70,62,65,56,63,68,72,80,105,113,100,96,87
[대전 유성구]구성동,124,83,65,54,57,65,64,53,58,64,58,54,48,50,47,33,51,57,62,77,85,82,82,76
[대전 유성구]노은동,111,90,64,53,58,62,67,60,59,62,60,55,47,44,45,45,48,54,66,86,92,95,82,71
[대전 유성구]상대동(대전),112,94,75,51,53,52,58,59,52,52,58,45,48,38,40,47,38,50,49,68,76,82,75,74
[대전 중구]문창동,129,107,83,56,63,71,75,81,81,80,73,69,60,47,50,54,58,66,67,82,98,107,98,89
