측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대전 대덕구]문평동,42,49,39,43,40,41,36,35,39,38,46,41,46,34,25,23,17,9,10,17,18,15,16,21
[대전 대덕구]읍내동,41,39,43,37,38,40,44,42,42,42,42,37,38,29,21,16,12,23,27,23,20,20,20,17
[대전 동구]대성동,37,38,37,33,30,30,25,24,32,30,31,38,36,34,28,28,24,22,22,12,12,9,15,12
[대전 동구]성남동1,40,43,43,46,41,35,38,32,37,31,42,43,34,37,31,25,26,21,27,15,17,13,15,18
[대전 서구]둔산동,39,38,40,35,38,35,34,38,34,42,43,21,41,32,24,25,32,38,19,9,20,17,21,14
[대전 서구]정림동,44,45,43,42,43,40,40,40,40,44,42,42,37,35,30,30,30,26,25,21,22,21,21,20
[대전 유성구]관평동,39,38,39,35,39,37,34,45,43,51,48,46,47,36,27,20,15,17,15,23,23,20,17,21
[대전 유성구]구성동,34,37,32,29,28,27,25,27,29,32,43,38,36,33,26,21,19,17,22,14,13,19,12,15
[대전 유성구]노은동,34,36,31,30,33,34,29,30,33,35,45,41,39,36,27,22,16,11,21,14,14,14,13,18
[대전 유성구]상대동(대전),40,42,38,35,34,33,29,29,34,33,39,42,36,28,27,26,24,20,22,20,9,16,13,18
[대전 중구]문창동,50,45,41,42,40,34,37,36,37,42,41,39,43,41,29,26,32,28,26,18,21,19,16,17
