측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대구 군위군]군위읍,23,19,9,6,5,7,7,14,20,28,35,34,40,38,35,28,25,28,28,34,48,46,51,50
[대구 남구]대명동,17,19,19,19,13,7,5,8,16,23,29,31,35,36,34,25,20,22,18,19,27,34,39,39
[대구 달서구]본동,20,18,20,16,17,9,6,18,20,27,34,33,31,46,41,31,25,27,31,30,33,40,42,42
[대구 달서구]진천동,18,24,22,24,19,8,7,11,18,30,36,35,35,51,45,33,28,25,27,31,30,41,40,41
[대구 달서구]호림동,27,25,23,21,21,8,11,18,30,33,37,35,38,54,44,41,29,32,30,35,38,40,46,49
[대구 달성군]다사읍,14,20,22,18,13,7,7,12,23,25,27,30,31,39,31,25,24,23,18,24,28,34,38,38
[대구 달성군]유가읍,22,20,20,20,22,10,6,16,20,25,27,25,26,-,-,30,22,23,22,25,35,38,40,33
[대구 달성군]화원읍,20,22,25,17,17,8,8,16,27,29,31,33,36,51,39,33,33,28,22,35,34,41,44,41
[대구 동구]서호동,17,19,16,20,16,5,5,9,23,-,-,-,17,40,41,34,29,28,23,23,31,38,34,40
[대구 동구]신암동,27,20,23,24,16,11,7,12,23,31,30,33,36,40,40,31,27,28,24,24,33,42,39,44
[대구 북구]산격동,22,23,27,22,17,9,12,13,22,28,29,27,30,39,39,30,28,24,24,24,33,40,39,36
[대구 북구]침산동,20,19,22,18,16,7,9,11,22,29,35,35,34,40,38,30,27,28,25,27,29,45,39,39
[대구 북구]태전동,26,18,23,13,14,7,9,12,25,31,35,35,36,35,40,28,25,22,27,25,35,43,39,45
[대구 서구]내당동,22,25,22,28,19,5,9,16,24,30,38,36,35,42,45,36,27,27,29,20,27,36,31,44
[대구 서구]이현동,17,29,23,18,14,9,11,18,18,31,38,34,33,44,39,34,28,29,25,29,30,35,41,46
[대구 수성구]만촌동,22,18,20,24,22,9,9,11,20,29,33,38,34,41,46,31,28,28,25,28,30,46,45,45
[대구 수성구]시지동,19,20,14,17,19,13,7,11,17,25,30,38,36,36,39,25,25,29,23,20,27,33,39,45
[대구 수성구]지산동,18,19,17,19,16,8,9,13,20,28,33,35,34,41,-,-,-,29,28,23,30,39,41,44
[대구 중구]남산1동,14,23,19,22,19,9,8,13,20,29,33,30,-,-,40,30,28,28,22,23,27,41,39,45
[대구 중구]수창동,17,18,18,16,14,8,6,9,20,24,30,31,31,39,34,27,25,25,19,20,22,34,33,39
