측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[대구 군위군]군위읍,58,61,67,59,58,59,59,61,68,73,70,64,48,39,-,-,39,42,41,41,42,40,29,34
[대구 남구]대명동,46,46,44,52,51,57,59,62,62,68,-,-,36,42,44,44,45,46,36,33,27,29,30,35
[대구 달서구]본동,52,59,52,53,51,55,63,73,78,69,67,55,45,52,53,56,42,47,42,36,34,30,33,36
[대구 달서구]진천동,48,51,53,48,52,58,55,70,79,80,77,68,59,52,51,52,39,35,34,39,35,30,31,29
[대구 달서구]호림동,57,54,58,57,56,60,64,73,75,74,72,70,60,49,50,40,40,39,50,46,45,40,45,50
[대구 달성군]다사읍,44,52,46,52,47,50,50,64,62,63,66,50,47,42,31,33,38,29,31,40,33,33,31,34
[대구 달성군]유가읍,42,43,43,50,50,53,56,67,67,57,63,56,47,46,40,42,36,38,46,46,45,38,43,44
[대구 달성군]화원읍,50,52,50,46,51,56,53,62,73,74,75,74,68,59,53,50,45,40,33,42,42,39,29,34
[대구 동구]서호동,42,47,48,48,52,61,64,66,73,68,64,55,48,34,36,31,38,41,31,34,28,30,33,36
[대구 동구]신암동,53,47,53,47,48,55,53,51,58,68,66,53,44,42,42,41,42,35,33,29,29,31,33,33
[대구 북구]산격동,56,50,53,48,57,53,48,55,66,72,67,53,46,47,51,44,50,44,39,31,36,36,36,33
[대구 북구]침산동,57,57,58,56,58,59,58,62,69,80,79,56,45,45,52,46,-,-,38,35,34,30,30,35
[대구 북구]태전동,60,57,53,52,54,65,63,68,72,70,-,-,45,43,47,51,43,50,40,30,34,34,35,32
[대구 서구]내당동,58,55,51,51,61,61,66,73,77,73,72,63,46,48,-,-,55,51,42,36,35,34,29,34
[대구 서구]이현동,55,50,51,51,59,61,67,72,80,86,68,59,-,-,52,48,46,51,41,38,35,31,34,33
[대구 수성구]만촌동,48,51,50,53,53,55,58,59,66,73,64,41,52,40,42,39,44,39,31,30,30,29,34,31
[대구 수성구]시지동,51,50,48,53,63,58,59,69,67,74,58,57,47,41,34,35,39,41,39,33,31,30,29,31
[대구 수성구]지산동,58,52,51,52,61,56,58,62,66,69,63,51,61,50,-,-,39,42,35,31,30,30,36,31
[대구 중구]남산1동,55,52,52,50,56,58,63,67,68,75,68,48,52,48,46,40,52,47,42,35,39,34,38,35
[대구 중구]수창동,50,51,45,46,52,52,59,57,61,63,67,46,38,39,39,36,44,39,36,30,31,25,31,33
