측정소명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
[인천 계양구]계산,70,73,77,82,75,60,63,79,80,79,78,70,57,63,72,69,49,49,46,44,56,36,45,44
[인천 계양구]효성,68,69,71,70,69,64,57,59,70,69,61,60,54,57,59,60,45,40,39,44,46,37,44,44
[인천 남동구]고잔,54,45,39,55,66,69,68,71,69,59,60,56,58,67,71,53,42,38,46,55,59,49,58,59
[인천 남동구]구월동,66,-,61,62,-,-,57,58,63,59,51,51,51,62,59,46,34,31,51,60,47,41,50,51
[인천 남동구]논현,61,55,51,63,64,66,69,73,69,64,65,58,57,69,69,61,41,39,41,61,78,49,50,55
[인천 남동구]서창,65,57,52,60,62,70,70,66,66,61,57,55,48,57,66,57,39,43,40,47,61,59,52,55
[인천 동구]송림,61,44,47,51,53,56,64,64,64,65,79,75,72,78,72,53,40,50,49,52,48,45,44,57
[인천 미추홀구]숭의,52,61,60,63,65,65,64,67,63,58,61,76,81,72,72,53,42,46,51,53,54,46,50,49
[인천 미추홀구]주안,57,65,78,73,69,68,68,68,68,62,64,58,62,76,76,54,42,38,48,52,53,44,52,52
[인천 부평구]부평,64,69,74,87,79,70,65,70,79,76,73,73,64,72,76,63,60,53,51,52,59,56,57,51
[인천 부평구]삼산,52,51,52,59,55,50,53,57,65,63,58,54,50,55,58,51,45,41,37,34,44,51,45,41
[인천 서구]검단,51,53,48,43,49,44,57,66,63,67,69,68,70,62,68,75,56,55,46,49,58,51,53,54
[인천 서구]석남,66,63,57,62,61,55,51,56,62,63,64,78,80,80,74,73,59,44,42,46,62,45,41,40
[인천 서구]연희,58,64,66,67,68,64,62,56,65,73,76,75,76,74,66,73,58,46,40,37,44,44,30,25
[인천 서구]원당,62,63,70,71,73,70,70,74,68,68,72,72,68,65,58,73,54,44,41,47,54,47,50,48
[인천 서구]청라,65,50,35,32,34,32,41,51,71,71,74,80,82,68,73,81,59,49,47,52,46,48,43,35
[인천 연수구]동춘,82,99,43,46,58,61,60,59,61,57,54,52,52,63,64,47,35,35,44,46,42,40,43,49
[인천 연수구]송도,41,29,26,39,54,62,69,70,69,63,67,65,76,80,70,51,47,41,51,51,51,43,49,52
[인천 연수구]아암,40,29,30,32,41,60,67,65,68,76,81,82,95,88,88,72,72,61,63,57,56,51,53,58
[인천 옹진군]영흥,24,29,17,28,32,30,54,68,83,88,81,73,78,53,42,47,45,42,40,47,36,39,38,36
[인천 중구]신흥,44,39,37,40,46,46,53,54,57,61,69,75,75,75,74,50,44,53,47,53,51,47,48,47
[인천 중구]영종,45,33,22,31,42,39,47,44,47,58,61,63,70,66,61,54,47,43,46,53,45,39,42,37
[인천 중구]운서,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
